"Drive","Category","SizeBytes","SizeHuman"
"C:","未分类","247246377794","230.27 GB"
"C:","视频、压缩包、安装包","65468422547","60.97 GB"
"C:","AI 模型权重、数据集、缓存","64233985783","59.82 GB"
"C:","下载目录","25419272379","23.67 GB"
"C:","旧项目归档、课程资料、无用备份","16229775324","15.12 GB"
"C:","浏览器缓存、软件缓存、日志","15580144349","14.51 GB"
"C:","虚拟机镜像、容器镜像","9810396060","9.14 GB"
"C:","桌面堆积文件","4293448262","4.00 GB"
"C:","临时文件、回收站","3643665531","3.39 GB"
"C:","云盘同步目录中的本地副本","2476935459","2.31 GB"
"C:","游戏文件与游戏缓存","1187344348","1.11 GB"
