"Path","Category","SizeBytes","SizeHuman","RiskLevel","SuggestedAction","Reason"
"C:\hiberfil.sys","隐藏大户","13628076032","12.69 GB","高风险","保留不动","系统关键文件，不应直接处理。"
"C:\pagefile.sys","隐藏大户","68719476736","64.00 GB","高风险","保留不动","系统关键文件，不应直接处理。"
"C:\swapfile.sys","隐藏大户","16777216","16.00 MB","高风险","保留不动","系统关键文件，不应直接处理。"
"C:\Windows\WinSxS","WinSxS","22869826196","21.30 GB","高风险","保留不动","组件存储目录，不建议手工删除。"
"C:\Users\m1389\AppData\Local\Docker","Docker Desktop","4304187218","4.01 GB","高风险","需要用户确认","Docker 镜像和卷清理可能影响容器。"
"C:\Users\m1389\AppData\Local\Packages","UWP/WSL 包","757254710","722.17 MB","高风险","需要用户确认","其中可能包含 WSL、Android 子系统或应用虚拟磁盘。"
"C:\Users\m1389\.cache\huggingface","AI 模型权重、数据集、缓存","2","2.00 B","中风险","需要用户确认","Hugging Face 缓存通常可重下，但可能影响离线推理。"
"C:\Users\m1389\.nuget","开发工具缓存","739632208","705.37 MB","中风险","需要用户确认","NuGet 包缓存可重建，但会影响构建速度。"
"C:\Users\m1389\AppData\Local\npm-cache","开发工具缓存","2326802542","2.17 GB","中风险","需要用户确认","npm 缓存可重建，但会影响安装速度。"
"C:\Users\m1389\.conda","开发工具缓存","85","85.00 B","中风险","需要用户确认","Conda 包缓存可重建，但会影响环境恢复速度。"
